 lambda    ion      a  w i m     f       gamma
 234.35   He_II_5   2  4 2 0  7.800e-3  7.630e+7
 237.33   He_II_4   2  4 2 0  9.300e-3  1.230e+8
 243.03   He_II_3   2  4 2 0  2.900e-2  2.090e+8
 256.32   He_II_2   2  4 2 0  7.900e-2  3.590e+8
 303.78   He_II_1   2  4 2 0  4.160e-1  5.000e+8
 512.098  He4_I_5   2  4 1 0  8.500e-3  3.300e+6
 512.122  He3_I_5   2  3 1 0  8.500e-3  3.300e+6
 515.617  He4_I_4   2  4 1 0  1.530e-2  5.300e+6
 515.641  He3_I_4   2  3 1 0  1.530e-2  5.300e+6
 522.213  He4_I_3   2  4 1 0  3.020e-2  8.700e+6
 522.237  He3_I_3   2  3 1 0  3.020e-2  8.700e+6
 537.030  He4_I_2   2  4 1 0  7.340e-2  1.300e+7
 537.055  He3_I_2   2  3 1 0  7.340e-2  1.300e+7
 584.334  He4_I_1   2  4 1 0  2.763e-1  2.000e+6
 584.361  He3_I_1   2  3 1 0  2.763e-1  2.000e+6
 928.437  H2_LH_R3 31  217 0  2.830e-3  8.110e+8
 928.448  H2_LK_P7 31  220 0  1.460e-3  7.570e+8
 928.770  H2_LI_R5 31  218 0  2.600e-3  7.880e+8
 929.016  H2_LJ_P6 31  219 0  1.780e-3  7.730e+8
 929.534  H2_W4_R0 31  2 4 0  3.390e-2  1.105e+9
 929.687  H2_W4_R1 31  2 4 0  1.550e-2  1.105e+9
 929.688  H2_LH_P3 31  217 0  2.540e-3  8.110e+8
 930.448  H2_W4_R2 31  2 4 0  1.180e-2  1.105e+9
 930.574  H2_W4_Q1 31  2 4 0  1.940e-2  1.105e+9
 930.610  H2_LI_P5 31  218 0  1.610e-3  7.880e+8
 931.063  H2_LG_R0 31  216 0  1.020e-2  8.290e+8
 931.605  H2_LH_R4 31  217 0  2.040e-3  8.110e+8
 931.732  H2_LG_R1 31  216 0  7.060e-3  8.290e+8
 931.779  H2_W4_Q2 31  2 4 0  1.930e-2  1.105e+9
 931.811  H2_W4_R3 31  2 4 0  1.050e-2  1.105e+9
 932.270  H2_LG_P1 31  216 0  2.390e-3  8.290e+8
 932.345  H2_LJ_R7 31  219 0  2.050e-3  7.730e+8
 932.6068 H2_W4_P2 31  2 4 0  4.800e-3  1.105e+9  AR
 933.185  H2_LH_P4 31  217 0  2.730e-3  8.110e+8
 933.243  H2_LG_R2 31  216 0  6.280e-3  8.290e+8
 933.376  S_VI     16 32 6 0  4.260e-1  1.630e+9
 933.451  H2_LI_R6 31  218 0  2.550e-3  7.880e+8
 933.581  H2_W4_Q3 31  2 4 0  1.930e-2  1.105e+9
 933.790  H2_W4_R4 31  2 4 0  1.030e-2  1.105e+9
 934.1467 H2_LG_P2 31  216 0  2.200e-3  8.290e+8  AR
 934.755  H2_LJ_P7 31  219 0  1.790e-3  7.730e+8
 934.789  H2_W4_P3 31  2 4 0  7.160e-3  1.105e+9
 935.537  H2_LH_R5 31  217 0  3.170e-3  8.110e+8
 935.578  H2_LG_R3 31  216 0  5.800e-3  8.290e+8
 935.641  H2_LI_P6 31  218 0  2.180e-3  7.880e+8
 935.959  H2_W4_Q4 31  2 4 0  1.920e-2  1.105e+9
 936.468  H2_W4_R5 31  2 4 0  1.220e-2  1.105e+9
 936.859  H2_LG_P3 31  216 0  2.090e-3  8.290e+8
 937.475  H2_LH_P5 31  217 0  3.070e-3  8.110e+8
 937.548  D_I_5     1  2 1 0  7.800e-3  2.450e+7
 937.553  H2_W4_P4 31  2 4 0  8.430e-3  1.105e+9
 937.8035 H_I_5     1  1 1 0  7.800e-3  2.450e+7
 938.468  H2_LF_R0 31  215 0  9.190e-3  8.570e+8
 938.733  H2_LG_R4 31  216 0  5.420e-3  8.290e+8
 938.876  H2_LI_R7 31  218 0  2.510e-3  7.880e+8
 938.904  H2_W4_Q5 31  2 4 0  1.920e-2  1.105e+9
 939.124  H2_LF_R1 31  215 0  6.200e-3  8.570e+8
 939.710  H2_LF_P1 31  215 0  2.910e-3  8.570e+8
 940.243  H2_LH_R6 31  217 0  3.120e-3  8.110e+8
 940.389  H2_LG_P4 31  216 0  2.030e-3  8.290e+8
 940.627  H2_LF_R2 31  215 0  5.540e-3  8.570e+8
 940.883  H2_W4_P5 31  2 4 0  9.020e-3  1.105e+9
 941.427  H2_LI_P7 31  218 0  2.190e-3  7.880e+8
 941.6024 H2_LF_P2 31  215 0  3.300e-3  8.570e+8  AR
 942.547  H2_LH_P6 31  217 0  2.670e-3  8.110e+8
 942.678  H2_LG_R5 31  216 0  3.870e-3  8.290e+8
 942.9670 H2_LF_R3 31  215 0  5.700e-3  8.570e+8  AR
 944.331  H2_LF_P3 31  215 0  3.540e-3  8.570e+8
 944.525  S_VI     16 32 6 0  2.100e-1  1.570e+9
 944.730  H2_LG_P5 31  216 0  2.040e-3  8.290e+8
 945.191  C_I       6 12 1 0  2.730e-1  1.000e+8
 945.699  H2_LH_R7 31  217 0  3.070e-3  8.110e+8
 946.129  H2_LF_R4 31  215 0  4.540e-3  8.570e+8
 946.170  H2_LE_R0 31  214 0  1.100e-3  8.830e+8
 946.386  H2_W3_R1 31  2 3 0  1.290e-2  1.121e+9
 946.425  H2_W3_R0 31  2 3 0  6.210e-2  1.121e+9
 946.986  H2_LE_R1 31  214 0  1.870e-3  8.830e+8
 947.113  H2_W3_R2 31  2 3 0  1.330e-2  1.121e+9
 947.394  H2_LG_R6 31  216 0  3.800e-3  8.290e+8
 947.425  H2_W3_Q1 31  2 3 0  2.730e-2  1.121e+9
 947.517  H2_LE_P1 31  214 0  3.510e-3  8.830e+8
 947.887  H2_LF_P4 31  215 0  3.650e-3  8.570e+8
 948.380  H2_LH_P7 31  217 0  2.680e-3  8.110e+8
 948.418  H2_W3_R3 31  2 3 0  1.280e-2  1.121e+9
 948.472  H2_LE_R2 31  214 0  1.210e-2  8.830e+8
 948.618  H2_W3_Q2 31  2 3 0  2.730e-2  1.121e+9
 948.6855 O_I       8 16 1 0                    
 949.355  H2_LE_P2 31  214 0  9.080e-3  8.830e+8
 949.4847 D_I_4     1  2 1 0  1.394e-2  4.203e+7
 949.612  H2_W3_P2 31  2 3 0  8.950e-4  1.121e+9
 949.7430 H_I_4     1  1 1 0  1.394e-2  4.203e+7
 949.845  H2_LG_P6 31  216 0  3.250e-3  8.290e+8
 950.102  H2_LF_R5 31  215 0  4.700e-3  8.570e+8
 950.316  H2_W3_R4 31  2 3 0  1.250e-2  1.121e+9
 950.401  H2_W3_Q3 31  2 3 0  2.730e-2  1.121e+9
 950.657  P_IV     15 31 4 0  1.710e00  4.200e+9
 950.820  H2_LE_R3 31  214 0  9.930e-3  8.830e+8
 951.0791 N_I       7 14 1 0  1.291e-4  1.830e+8
 951.2947 N_I       7 14 1 2  1.811e-5  1.870e+8
 951.672  H2_W3_P3 31  2 3 0  1.270e-2  1.121e+9
 952.256  H2_LF_P5 31  215 0  3.830e-3  8.570e+8
 952.276  H2_LE_P3 31  214 0  7.060e-4  8.830e+8
 952.3034 N_I       7 14 1 0                    
 952.4148 N_I       7 14 1 0                    
 952.5227 N_I       7 14 1 0                    
 952.758  H2_W3_Q4 31  2 3 0  2.720e-2  1.121e+9
 952.807  H2_W3_R5 31  2 3 0  1.730e-2  1.121e+9
 952.853  H2_LG_R7 31  216 0  3.740e-3  8.290e+8
 953.4152 N_I       7 14 1 0                    
 953.6549 N_I       7 14 1 0                    
 953.9699 N_I       7 14 1 0                    
 954.1042 N_I       7 14 1 0                    
 954.006  H2_LE_R4 31  214 0  8.860e-3  8.830e+8
 954.419  H2_LD_R0 31  213 0  1.380e-2  9.120e+8
 954.475  H2_W3_P4 31  2 3 0  1.340e-2  1.121e+9
 954.826  F_I       9 19 1 0                    
 954.862  H2_LF_R6 31  215 0  4.620e-3  8.570e+8
 955.067  H2_LD_R1 31  213 0  9.460e-3  9.120e+8
 955.2643 N_I       7 14 1 0  5.023e-5  4.050e+7
 955.437  N_I       7 14 1 2  1.156e-6  5.520e+7
 955.5292 N_I       7 14 1 0  1.730e-5  1.650e+8
 955.8814 N_I       7 14 1 2  5.874e-5  1.680e+8
 955.682  H2_W3_Q5 31  2 3 0  2.710e-2  1.121e+9
 955.711  H2_LD_P1 31  213 0  4.220e-3  9.120e+8
 955.719  H2_LG_P7 31  216 0  3.270e-3  8.290e+8
 955.855  H2_LE_P4 31  214 0  1.740e-3  8.830e+8
 956.5825 H2_LD_R2 31  213 0  9.100e-3  9.120e+8  AR
 957.417  H2_LF_P6 31  215 0  3.950e-3  8.570e+8
 957.654  H2_LD_P2 31  213 0  4.820e-3  9.120e+8
 957.819  H2_W3_P5 31  2 3 0  1.400e-2  1.121e+9
 957.998  H2_LE_R5 31  214 0  5.690e-3  8.830e+8
 958.949  H2_LD_R3 31  213 0  8.170e-3  9.120e+8
 959.4936 N_I       7 14 1 0                    
 960.265  H2_LE_P5 31  214 0  2.250e-3  8.830e+8
 960.384  H2_LF_R7 31  215 0  4.550e-3  8.570e+8
 960.452  H2_LD_P3 31  213 0  4.930e-3  9.120e+8
 961.0412 P_II     15 31 2 0  3.490e-1  1.000e+8  M03
 962.154  H2_LD_R4 31  213 0  7.730e-3  9.120e+8
 962.791  H2_LE_R6 31  214 0  5.590e-3  8.830e+8
 962.978  H2_LC_R0 31  212 0  1.290e-2  9.480e+8
 963.351  H2_LF_P7 31  215 0  3.960e-3  8.570e+8
 963.609  H2_LC_R1 31  212 0  6.860e-3  9.480e+8
 963.801  P_II     15 31 2 0                    
 963.9903 N_I       7 14 1 1  1.510e-2  1.000e+8
 964.091  H2_LD_P4 31  213 0  4.950e-3  9.120e+8
 964.312  H2_LC_P1 31  212 0  5.010e-3  9.480e+8
 964.6256 N_I       7 14 1 2  1.000e-2  1.000e+8
 964.988  H2_LC_R2 31  212 0  1.510e-3  9.480e+8
 964.988  H2_W2_R0 31  2 2 0  6.880e-2  1.139e+9
 965.0413 N_I       7 14 1 3  5.020e-3  1.000e+8
 965.067  H2_W2_R1 31  2 2 0  3.520e-2  1.139e+9
 965.477  H2_LE_P6 31  214 0  4.770e-3  8.830e+8
 965.793  H2_W2_R2 31  2 2 0  3.230e-2  1.139e+9
 966.097  H2_W2_Q1 31  2 2 0  3.490e-2  1.139e+9
 966.176  H2_LD_R5 31  213 0  6.820e-3  9.120e+8
 966.272  H2_LC_P2 31  212 0  6.460e-3  9.480e+8
 966.780  H2_W2_R3 31  2 2 0  7.870e-3  1.139e+9
 967.278  H2_W2_Q2 31  2 2 0  3.480e-2  1.139e+9
 967.674  H2_LC_R3 31  212 0  2.150e-2  9.480e+8
 968.293  H2_W2_P2 31  2 2 0  7.120e-3  1.139e+9
 968.353  H2_LE_R7 31  214 0  5.500e-3  8.830e+8
 968.558  H2_LD_P5 31  213 0  4.990e-3  9.120e+8
 968.664  H2_W2_R4 31  2 2 0  1.300e-2  1.139e+9
 969.047  H2_W2_Q3 31  2 2 0  3.480e-2  1.139e+9
 969.086  H2_LC_P3 31  212 0  8.030e-3  9.480e+8
 970.560  H2_W2_P3 31  2 2 0  9.510e-3  1.139e+9
 970.835  H2_LC_R4 31  212 0  1.470e-2  9.480e+8
 970.994  H2_LD_R6 31  213 0  6.700e-3  9.120e+8
 971.073  H2_W2_R5 31  2 2 0  2.210e-2  1.139e+9
 971.386  H2_W2_Q4 31  2 2 0  3.470e-2  1.139e+9
 971.469  H2_LE_P7 31  214 0  4.800e-3  8.830e+8
 971.7371 O_I       8 16 1 0  1.380e-4  2.000e+6  M03
 971.7376 O_I       8 16 1 0  2.070e-3  2.000e+7  M03
 971.7382 O_I       8 16 1 0  1.160e-2  8.000e+7  M03
 971.984  H2_LB_R0 31  211 0  1.970e-2  9.870e+8
 972.1429 O_I       8 16 1 0                    
 972.2722 D_I_3     1  2 1 0  2.899e-2  8.126e+7
 972.5368 H_I_3     1  1 1 0  2.899e-2  8.126e+7
 972.625  H2_LB_R1 31  211 0  1.370e-2  9.870e+8
 972.625  H2_LC_P4 31  212 0  1.300e-2  9.480e+8
 973.212  Cl_IV    17 35 4 0  4.410e-2  1.850e+8
 973.348  H2_LB_P1 31  211 0  5.870e-3  9.870e+8
 973.450  H2_W2_P4 31  2 2 0  6.700e-3  1.139e+9
 973.828  H2_LD_P6 31  213 0  5.730e-3  9.120e+8
 974.156  H2_LB_R2 31  211 0  1.250e-2  9.870e+8
 974.286  H2_W2_Q5 31  2 2 0  3.460e-2  1.139e+9
 974.884  H2_LC_R5 31  212 0  8.110e-3  9.480e+8
 975.3480 H2_LB_P2 31  211 0  6.600e-3  9.870e+8  AR
 976.4481 O_I       8 16 1 0  3.300e-3  1.000e+8
 976.552  H2_LB_R3 31  211 0  1.210e-2  9.870e+8
 976.552  H2_W2_P5 31  2 2 0  2.130e-2  1.139e+9
 976.581  H2_LD_R7 31  213 0  6.600e-3  9.120e+8
 977.0201 C_III     6 12 3 0  7.570e-1  1.760e+9  M03
 977.460  H2_LC_P5 31  212 0  4.000e-4  9.480e+8
 978.2201 H2_LB_P3 31  211 0  6.700e-3  9.870e+8  AR
 979.725  H2_LC_R6 31  212 0  7.970e-2  9.480e+8
 979.806  H2_LB_R4 31  211 0  1.170e-2  9.870e+8
 979.880  H2_LD_P7 31  213 0  5.760e-3  9.120e+8
 981.441  H2_LA_R0 31  210 0  2.040e-2  1.030e+9
 981.950  H2_LB_P4 31  211 0  6.610e-3  9.870e+8
 982.074  H2_LA_R1 31  210 0  1.330e-2  1.030e+9
 982.383  H2_LA_P1 31  210 0  6.780e-3  1.030e+9
 982.718  H2_LC_P6 31  212 0  6.810e-3  9.480e+8
 987.9145 Cl_I     17 35 1 0                    
 988.5778 O_I       8 16 1 0  5.530e-4  1.000e+7  M03
 988.6549 O_I       8 16 1 0  8.300e-3  1.000e+8  M03
 988.7734 O_I       8 16 1 0  4.650e-2  4.000e+8  M03
 989.799  N_III     7 14 3 0  1.230e-1  5.000e+8  M03
 989.8731 Si_II    14 28 2 0  1.710e-1  6.673e+8  M03
 991.394  H2_L9_R0 31  2 9 0  2.590e-2  1.070e+9
 991.511  N_III*    7 14 3 0  1.200e-2  5.000e+8  M03;174.4 cm-1
 991.577  N_III*    7 14 3 0  1.100e-1  4.970e+8  M03;174.4 cm-1
 992.022  H2_L9_R1 31  2 9 0  1.800e-2  1.070e+9
 992.6828 Si_II*   14 28 2 0  1.530e-1  6.673e+8  M03;287.24 cm-1
 992.6956 Si_II*   14 28 2 0  1.700e-2  6.673e+8  M03;287.24 cm-1
 992.813  H2_L9_P1 31  2 9 0  7.650e-3  1.070e+9
 993.5540 H2_L9_R2 31  2 9 0  1.700e-2  1.070e+9  AR
 994.876  H2_L9_P2 31  2 9 0  8.580e-3  1.070e+9
 995.9758 H2_L9_R3 31  2 9 0  1.700e-2  1.070e+9  AR
 997.64   P_V      15 31 5 0  1.000e00  1.000e+8
 997.8318 H2_L9_P3 31  2 9 0  8.800e-3  1.070e+9  AR
 998.000  P_III    15 31 3 0  1.000e00  1.000e+8
1001.8284 H2_L8_R0 31  2 8 0  2.700e-2  1.140e+9  AR
1002.3464 Cl_I     17 35 1 0                    
1002.4565 H2_L8_R1 31  2 8 0  1.800e-2  1.140e+9  AR
1003.3015 H2_L8_P1 31  2 8 0  0.850e-2  1.140e+9  AR
1003.9891 H2_L8_R2 31  2 8 0  1.700e-2  1.140e+9  AR
1004.6676 Cl_I     17 35 1 0  1.577e-1  2.085e+9  M91
1005.3976 H2_L8_P2 31  2 8 0  0.990e-2  1.140e+9  AR
1006.015  N_III     7 14 3 0  1.000e00  1.000e+8
1006.22   P_IV     15 31 4 0  1.000e00  1.000e+8
1006.4177 H2_L8_R3 31  2 8 0  1.600e-2  1.140e+9  AR
1008.3907 H2_L8_P3 31  2 8 0  1.000e-2  1.140e+9  AR
1008.4972 H2_W0_R1 32  2 0 0  2.100e-2  1.180e+9  AR
1008.5511 H2_W0_R0 32  2 0 0  4.400e-2  1.180e+9  AR
1009.0229 H2_W0_R2 32  2 0 0  1.600e-2  1.180e+9  AR
1009.7217 H2_L8_R4 31  2 8 0  1.400e-2  1.140e+9  AR
1009.7703 H2_W0_Q1 32  2 0 0  2.400e-2  1.180e+9  AR
1010.1277 H2_W0_R3 32  2 0 0  1.400e-2  1.180e+9  AR
1010.9375 H2_W0_Q2 32  2 0 0  2.400e-2  1.180e+9  AR
1011.457  HD_L8_R0 35  3 8 0  2.440e-2  1.000e+9
1011.8096 H2_W0_R4 32  2 0 0  1.400e-2  1.180e+9  AR
1012.1684 H2_W0_P2 32  2 0 0  0.550e-2  1.180e+9  AR
1012.2662 H2_L8_P4 31  2 8 0  1.100e-2  1.140e+9  AR
1012.495  S_III    16 32 3 0  4.380e-2  2.810e+8  M03
1012.6789 H2_W0_Q3 32  2 0 0  2.400e-2  1.180e+9  AR
1012.8174 H2_L7_R0 31  2 7 0  3.000e-2  1.200e+9  AR
1013.4412 H2_L7_R1 31  2 7 0  2.000e-2  1.200e+9  AR
1013.7099 H2_L8_R5 31  2 8 0  1.400e-2  1.140e+9  AR/MD
1014.2369 H2_W0_R5 32  2 0 0  2.600e-2  1.180e+9  AR
1014.3321 H2_L7_P1 31  2 7 0  0.900e-2  1.200e+9  AR
1014.5033 H2_W0_P3 32  2 0 0  0.820e-2  1.180e+9  AR
1014.9801 H2_L7_R2 31  2 7 0  1.900e-2  1.200e+9  AR
1014.9811 H2_W0_Q4 32  2 0 0  2.400e-2  1.180e+9  AR
1016.4655 H2_L7_P2 31  2 7 0  1.000e-2  1.200e+9  AR
1017.0080 H2_L8_P5 31  2 8 0  1.100e-2  1.140e+9  AR
1017.3835 H2_W0_P4 32  2 0 0  0.990e-2  1.180e+9  AR
1017.4273 H2_L7_R3 31  2 7 0  1.800e-2  1.200e+9  AR
1017.8303 H2_W0_Q5 32  2 0 0  2.400e-2  1.180e+9  AR
1018.2182 H2_L9_P7 31  2 9 0  0.880e-2  1.070e+9  AR
1019.0173 H2_L8_R6 31  2 8 0  2.000e-2  1.140e+9  AR
1019.5065 H2_L7_P3 31  2 7 0  1.100e-2  1.200e+9  AR
1020.6989 Si_II    14 28 2 0  1.680e-2  1.040e+9  M03
1020.7690 H2_L7_R4 31  2 7 0  1.800e-2  1.200e+9  AR
1020.7965 H2_W0_P5 32  2 0 0  1.100e-2  1.180e+9  AR
1021.453  HD_L7_R0 35  3 7 0  2.420e-2  1.000e+9
1022.5868 H2_L8_P6 31  2 8 0  1.300e-2  1.140e+9  AR
1023.4402 H2_L7_P4 31  2 7 0  1.100e-2  1.200e+9  AR
1023.7002 Si_II*   14 28 2 0  1.680e-2  1.040e+9  M03;287.24 cm-1
1024.3759 H2_L6_R0 31  2 6 0  2.900e-2  1.300e+9  AR
1024.8786 H2_L8_R7 31  2 8 0  1.900e-2  1.140e+9  AR
1024.9900 H2_L6_R1 31  2 6 0  2.000e-2  1.300e+9  AR
1024.9917 H2_L7_R5 31  2 7 0  1.800e-2  1.200e+9  AR
1025.2821 Cl_I     17 35 1 0                    
1025.4420 D_I_2     1  2 1 0  7.914e-2  1.897e+8  M03
1025.7223 H_I_2     1  1 1 0  7.914e-2  1.897e+8  M03
